record_id,issuer_name,parent_name,address,city,country,exposure
700018,JPMorgn Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,89000000
700059,Invstec Bank,Investec Group,100 Grayston Drive,Sandton,South Africa,81000000
700047,Investec Bank Ltd,Investec Group,100 Grayston Drive,Sandton,South Africa,81000000
700068,Nova Scotia Bank,Bank of Nova Scotia,44 King St West,Toronto,Canada,15000000
700082,Morgan Stanley,Morgan Stanley,1585 Broadway,New York,USA,33000000
700072,BNS,Bank of Nova Scotia,44 King Street West,Toronto,Canada,35000000
700113,Goldman Sacks,Goldman Sachs Group,200 West St,New York,USA,15000000
700052,INVESTC BANK,Investec Group,100 Grayston Drive,Sandton,South Africa,77000000
700053,INVESTC BANK,Investec Group,100 Grayston Drive,Sandton,South Africa,33000000
700016,J P Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,26000000
700104,Goldman Sachs & Co,Goldman Sachs Group,200 West St,New York,USA,22000000
700045,Investec Bank Limited,Investec Group,100 Grayston Drive,Sandton,South Africa,40000000
700037,Deutsche Bank A.G.,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,46000000
700074,Scotia Bank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,46000000
700043,Db Ag,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,19000000
